"Date","Price","Open","High","Low","Change %"
"10/01/2008","18.920","18.920","18.920","18.920","2.66%"
"09/01/2008","18.430","18.430","18.430","18.430","2.11%"
"08/01/2008","18.050","18.050","18.050","18.050","-2.17%"
"07/01/2008","18.450","18.450","18.450","18.450","0.99%"
"06/01/2008","18.270","18.270","18.270","18.270","0.11%"
"05/01/2008","18.250","18.250","18.250","18.250","-3.80%"
"04/01/2008","18.970","18.970","18.970","18.970","-0.16%"
"03/01/2008","19.000","19.000","19.000","19.000","-0.11%"
"02/01/2008","19.020","19.020","19.020","19.020","-2.21%"
"01/01/2008","19.450","19.450","19.450","19.450","-3.33%"
"12/01/2007","20.120","20.120","20.120","20.120","6.46%"
"11/01/2007","18.900","18.900","18.900","18.900","9.88%"
"10/01/2007","17.200","17.200","17.200","17.200","-1.55%"
"09/01/2007","17.470","17.470","17.470","17.470","1.57%"
"08/01/2007","17.200","17.200","17.200","17.200","0.23%"
"07/01/2007","17.160","17.160","17.160","17.160","-0.29%"
"06/01/2007","17.210","17.210","17.210","17.210","3.05%"
"05/01/2007","16.700","16.700","16.700","16.700","3.79%"
"04/01/2007","16.090","16.090","16.090","16.090","9.68%"
"03/01/2007","14.670","14.670","14.670","14.670","3.38%"
"02/01/2007","14.190","14.190","14.190","14.190","5.82%"
"01/01/2007","13.410","13.410","13.410","13.410","3.47%"
"12/01/2006","12.960","12.960","12.960","12.960","3.27%"
"11/01/2006","12.550","12.550","12.550","12.550","2.66%"
"10/01/2006","12.225","12.225","12.225","12.225","7.05%"
"09/01/2006","11.420","11.420","11.420","11.420","7.43%"
"08/01/2006","10.630","10.630","10.630","10.630","1.14%"
"07/01/2006","10.510","10.510","10.510","10.510","0.57%"
"06/01/2006","10.450","10.450","10.450","10.450","0.77%"
"05/01/2006","10.370","10.370","10.370","10.370","0.19%"
"04/01/2006","10.350","10.350","10.350","10.350","-0.29%"
"03/01/2006","10.380","10.380","10.380","10.380","0.00%"
"02/01/2006","10.380","10.380","10.380","10.380","0.19%"
"01/01/2006","10.360","10.360","10.360","10.360","-0.10%"
"12/01/2005","10.370","10.370","10.370","10.370","-0.19%"
"11/01/2005","10.390","10.390","10.390","10.390","5.80%"
"10/01/2005","9.820","9.820","9.820","9.820","0.31%"
"09/01/2005","9.790","9.790","9.790","9.790","4.48%"
"08/01/2005","9.370","9.370","9.370","9.370","1.74%"
"07/01/2005","9.210","9.210","9.210","9.210","0.11%"
"06/01/2005","9.200","9.200","9.200","9.200","9.92%"
"05/01/2005","8.370","8.370","8.370","8.370","4.62%"
"04/01/2005","8.000","8.000","8.000","8.000","3.49%"
"03/01/2005","7.730","7.730","7.730","7.730","0.39%"
"02/01/2005","7.700","7.700","7.700","7.700","0.39%"
"01/01/2005","7.670","7.670","7.670","7.670","-0.52%"
"12/01/2004","7.710","7.710","7.710","7.710","-1.41%"
"11/01/2004","7.820","7.820","7.820","7.820","2.76%"
"10/01/2004","7.610","7.610","7.610","7.610","0.40%"
"09/01/2004","7.580","7.580","7.580","7.580","-4.65%"
"08/01/2004","7.950","7.950","7.950","7.950","1.15%"
"07/01/2004","7.860","7.860","7.860","7.860","0.51%"
"06/01/2004","7.820","7.820","7.820","7.820","0.13%"
"05/01/2004","7.810","7.810","7.810","7.810","14.35%"
"04/01/2004","6.830","6.830","6.830","6.830","-10.84%"
"03/01/2004","7.660","7.660","7.660","7.660","-0.13%"
"02/01/2004","7.670","7.670","7.670","7.670","1.46%"
"01/01/2004","7.560","7.560","7.560","7.560","2.16%"
"12/01/2003","7.400","7.400","7.400","7.400","2.35%"
"11/01/2003","7.230","7.230","7.230","7.230","2.26%"
"10/01/2003","7.070","7.070","7.070","7.070","-3.68%"
"09/01/2003","7.340","7.340","7.340","7.340","-3.80%"
"08/01/2003","7.630","7.630","7.630","7.630","-4.86%"
"07/01/2003","8.020","8.020","8.020","8.020","-5.87%"
"06/01/2003","8.520","8.520","8.520","8.520","-1.16%"
"05/01/2003","8.620","8.620","8.620","8.620","-3.79%"
"04/01/2003","8.960","8.960","8.960","8.960","-2.40%"
"03/01/2003","9.180","9.180","9.180","9.180","2.68%"
"02/01/2003","8.940","8.940","8.940","8.940","-0.78%"
"01/01/2003","9.010","9.010","9.010","9.010","-12.27%"
"12/01/2002","10.270","10.270","10.270","10.270","-4.02%"
"11/01/2002","10.700","10.700","10.700","10.700","-4.38%"
"10/01/2002","11.190","11.190","11.190","11.190","-0.89%"
"09/01/2002","11.290","11.290","11.290","11.290","-3.67%"
"08/01/2002","11.720","11.720","11.720","11.720","-7.64%"
"07/01/2002","12.690","12.690","12.690","12.690","-5.16%"
"06/01/2002","13.380","13.380","13.380","13.380","0.30%"
"05/01/2002","13.340","13.340","13.340","13.340","2.30%"
"04/01/2002","13.040","13.040","13.040","13.040","1.09%"
"03/01/2002","12.900","12.900","12.900","12.900","-1.53%"
"02/01/2002","13.100","13.100","13.100","13.100","-0.91%"
