"Date","Price","Open","High","Low","Change %"
"08/18/2019","7.700","7.900","8.000","7.600","-2.53%"
"08/11/2019","7.900","7.750","7.900","7.750","1.28%"
"08/04/2019","7.800","7.750","7.850","7.700","0.65%"
"07/28/2019","7.750","7.900","7.950","7.750","-1.90%"
"07/21/2019","7.900","8.000","8.100","7.750","-1.25%"
"07/14/2019","8.000","8.150","8.200","7.950","-1.84%"
"07/07/2019","8.150","8.250","8.350","8.100","-1.21%"
"06/30/2019","8.250","8.300","8.400","8.150","-0.60%"
"06/23/2019","8.300","8.450","8.500","8.200","-0.60%"
"06/16/2019","8.350","8.450","8.550","8.350","-1.18%"
"06/09/2019","8.450","8.500","8.550","8.400","0.60%"
"06/02/2019","8.400","8.500","8.600","8.400","-1.18%"
"05/26/2019","8.500","8.400","8.550","8.400","0.00%"
"05/19/2019","8.500","8.550","8.600","8.400","0.00%"
"05/12/2019","8.500","8.500","8.600","8.400","0.00%"
"05/05/2019","8.500","9.000","9.000","8.400","-4.49%"
"04/28/2019","8.900","9.150","9.200","8.750","-2.73%"
"04/21/2019","9.150","9.100","9.250","8.950","0.55%"
"04/14/2019","9.100","9.150","9.150","9.000","-0.55%"
"04/07/2019","9.150","9.400","9.400","9.050","-1.61%"
"03/31/2019","9.300","9.400","9.500","9.200","-1.06%"
"03/24/2019","9.400","9.450","9.600","9.300","-0.53%"
"03/17/2019","9.450","9.600","9.600","9.400","-1.56%"
"03/10/2019","9.600","9.500","9.650","9.400","1.05%"
"03/03/2019","9.500","9.600","9.700","9.400","-1.04%"
"02/24/2019","9.600","9.750","9.750","9.450","1.05%"
"02/17/2019","9.500","9.750","9.750","9.500","-1.04%"
"02/10/2019","9.600","9.750","9.800","9.500","-1.54%"
"02/03/2019","9.750","9.550","9.750","9.400","2.09%"
"01/27/2019","9.550","9.650","9.750","9.500","-1.04%"
"01/20/2019","9.650","9.700","9.700","9.500","-0.52%"
"01/13/2019","9.700","9.500","9.850","9.450","-1.02%"
"01/06/2019","9.800","9.500","9.800","9.400","3.16%"
"12/30/2018","9.500","10.000","10.150","9.400","-5.00%"
"12/23/2018","10.000","9.750","10.150","9.700","2.56%"
"12/16/2018","9.750","9.900","10.200","9.750","-1.52%"
"12/09/2018","9.900","10.000","10.000","9.650","0.00%"
"12/02/2018","9.900","10.000","10.250","9.900","-1.00%"
"11/25/2018","10.000","10.000","10.300","10.000","-2.44%"
"11/18/2018","10.250","10.150","10.250","9.950","0.99%"
"11/11/2018","10.150","7.950","10.200","7.950","5.18%"
"11/04/2018","9.650","9.750","10.000","9.250","-1.03%"
"10/28/2018","9.750","9.500","9.750","9.250","2.63%"
"10/21/2018","9.500","9.400","9.700","9.250","0.00%"
"10/14/2018","9.500","9.400","9.600","9.200","1.06%"
"10/07/2018","9.400","8.700","9.600","8.600","7.43%"
"09/30/2018","8.750","8.700","9.000","8.550","0.57%"
"09/23/2018","8.700","8.400","8.700","8.200","3.57%"
"09/16/2018","8.400","7.950","8.400","7.950","3.07%"
"09/09/2018","8.150","8.000","8.200","7.950","1.87%"
"09/02/2018","8.000","8.100","8.150","8.000","-1.84%"
"08/26/2018","8.150","8.200","8.250","8.000","0.00%"
"08/19/2018","8.150","8.200","8.220","8.100","-0.61%"
"08/12/2018","8.200","8.250","8.250","8.100","0.00%"
"08/05/2018","8.200","8.250","8.400","8.150","-0.61%"
"07/29/2018","8.250","8.300","8.550","8.200","0.00%"
"07/22/2018","8.250","8.300","8.350","8.250","-0.60%"
"07/15/2018","8.300","8.350","8.450","8.250","-0.60%"
"07/08/2018","8.350","8.500","8.500","8.350","-1.76%"
"07/01/2018","8.500","8.300","8.550","8.300","2.41%"
"06/24/2018","8.300","8.400","8.500","8.300","-1.19%"
"06/17/2018","8.400","8.300","8.550","8.300","0.00%"
"06/10/2018","8.400","8.350","8.500","8.300","0.60%"
"06/03/2018","8.350","8.267","8.400","8.267","1.00%"
"05/27/2018","8.267","8.267","8.267","8.267","0.00%"
"05/20/2018","8.267","8.267","8.267","8.267","0.00%"
"05/13/2018","8.267","8.233","8.267","8.233","0.41%"
"05/06/2018","8.233","8.250","8.250","8.233","0.40%"
"04/29/2018","8.200","8.163","8.200","8.163","0.40%"
"04/22/2018","8.167","8.188","8.200","8.167","-1.40%"
"04/15/2018","8.283","8.283","8.283","8.283","-0.41%"
"04/08/2018","8.317","8.317","8.317","8.317","-0.79%"
"04/01/2018","8.383","8.383","8.383","8.383","1.00%"
"03/25/2018","8.300","8.238","8.300","8.238","0.75%"
"03/18/2018","8.238","8.425","8.425","8.217","-2.22%"
"03/11/2018","8.425","8.333","8.433","8.333","1.10%"
"03/04/2018","8.333","8.338","8.440","8.320","-0.06%"
"02/25/2018","8.338","8.267","8.338","8.267","0.86%"
"02/18/2018","8.267","8.133","8.267","8.133","1.65%"
"02/11/2018","8.133","7.800","8.133","7.800","4.27%"
"02/04/2018","7.800","7.613","7.820","7.613","2.46%"
"01/28/2018","7.613","7.650","7.700","7.613","-0.48%"
"01/21/2018","7.650","7.610","7.650","7.590","0.53%"
"01/14/2018","7.610","7.630","7.663","7.610","-0.26%"
"01/07/2018","7.630","7.625","7.690","7.550","0.07%"
"12/31/2017","7.625","7.625","7.625","7.625","-0.33%"
"12/24/2017","7.650","7.650","7.650","7.650","0.22%"
"12/17/2017","7.633","7.633","7.633","7.633","-2.39%"
"12/10/2017","7.820","7.820","7.820","7.820","-1.80%"
"12/03/2017","7.963","7.963","7.963","7.963","-3.34%"
"11/26/2017","8.238","8.238","8.238","8.238","-1.81%"
"11/19/2017","8.390","8.390","8.390","8.390","-2.11%"
"11/12/2017","8.571","8.571","8.571","8.571","-1.48%"
"11/05/2017","8.700","8.700","8.700","8.700","-0.89%"
"10/29/2017","8.778","8.778","8.778","8.778","-0.36%"
"10/22/2017","8.810","8.810","8.810","8.810","-0.56%"
"10/15/2017","8.860","8.860","8.860","8.860","-0.56%"
"10/08/2017","8.910","8.910","8.910","8.910","1.48%"
"10/01/2017","8.780","8.780","8.780","8.780","-0.34%"
"09/24/2017","8.810","8.810","8.810","8.810","1.26%"
"09/17/2017","8.700","8.700","8.700","8.700","-0.38%"
"09/10/2017","8.733","8.733","8.733","8.733","-1.41%"
"09/03/2017","8.858","8.858","8.858","8.858","-2.66%"
"08/27/2017","9.100","9.100","9.100","9.100","0.44%"
"08/20/2017","9.060","9.060","9.060","9.060","0.67%"
"08/13/2017","9.000","9.000","9.000","9.000","1.12%"
"08/06/2017","8.900","8.900","8.900","8.900","-1.30%"
"07/30/2017","9.017","9.017","9.017","9.017","-4.25%"
"07/23/2017","9.417","9.417","9.417","9.417","0.27%"
"07/16/2017","9.392","9.392","9.392","9.392","-2.17%"
"07/09/2017","9.600","9.600","9.600","9.600","0.15%"
"07/02/2017","9.586","9.586","9.586","9.586","-0.07%"
"06/25/2017","9.593","9.593","9.593","9.593","0.51%"
"06/18/2017","9.544","9.544","9.544","9.544","0.68%"
"06/11/2017","9.480","9.480","9.480","9.480","-1.25%"
"06/04/2017","9.600","9.600","9.600","9.600","-0.52%"
"05/28/2017","9.650","9.650","9.650","9.650","1.15%"
"05/21/2017","9.540","9.540","9.540","9.540","-1.14%"
"05/14/2017","9.650","9.650","9.650","9.650","4.04%"
"05/07/2017","9.275","9.275","9.275","9.275","-0.27%"
"04/30/2017","9.300","9.300","9.300","9.300","-3.80%"
"04/23/2017","9.667","9.667","9.667","9.667","-1.31%"
"04/16/2017","9.795","9.795","9.795","9.795","0.46%"
"04/09/2017","9.750","9.750","9.750","9.750","0.34%"
"04/02/2017","9.717","9.717","9.717","9.717","0.35%"
"03/26/2017","9.683","9.683","9.683","9.683","0.49%"
"03/19/2017","9.636","9.636","9.636","9.636","0.90%"
"03/12/2017","9.550","9.550","9.550","9.550","-0.52%"
"03/05/2017","9.600","9.600","9.600","9.600","2.13%"
"02/26/2017","9.400","9.400","9.400","9.400","0.69%"
"02/19/2017","9.336","9.336","9.336","9.336","0.70%"
"02/12/2017","9.271","9.271","9.271","9.271","0.77%"
"02/05/2017","9.200","9.200","9.200","9.200","0.46%"
"01/29/2017","9.158","9.158","9.158","9.158","0.73%"
"01/22/2017","9.092","9.092","9.092","9.092","0.14%"
"01/15/2017","9.079","9.079","9.079","9.079","0.25%"
